Category,Number,Title,Body
God,1,And when the waves cover them like shadows,"And when the waves cover them like shadows, they call upon God,
making their religion sincerely His.
But when he has delivered them to the land,
some of them are lukewarm.
And no one denies Our signs except every ungrateful traitor."
God,2,It was an age of ignorance,"It was an age of ignorance,
Ignorance of the unity of Allah,
Ignorance of shame,
Ignorance of peace,
Ignorance of the worth of women. Then Jibrail comes to Mohammed With the message from Allah,
And says, “In the name of Allah, read” (Iqra). And ignorance is dispelled.
The light of Islam shines
And envelops the world."
God,3,It is commonly said that life begins at birth,"It is commonly said that life begins at birth.
Actually, it has begun eons ago.
It is coming together in you today
By the spinning of the spheres,
By the light of the stars,
And we are given a chance to choose.
Should we fritter away this precious time?
Do we waste it in meaningless activity?
Or do we count the hours, the minutes and seconds in prayer? If there is hope in heaven,
If there is horror in hell,
The choice is easy."
God,4,Heavens has umpteen meanings,"Heavens has umpteen meanings
It is here on earth
It is in the person of Imam or Dai
It is at the feet of a mother
It is close, it is far,
For a Mumin, it is a pass
But O my brothers and sisters in faith, Do you want to be a slave or a master there? Do good here and you will be a master. Do bad and you will be a slave.
The choice is yours.
But Heaven is waiting for you."
God,5,Calm depths,"Calm depths
In fathoms,
Fathoms of blue
Like an underground stream,
Clean, crystal-clear, cool.
Or as the swaying silences
Deep peace of the setting sun
As the beam,
light shot from fresh wet leaves,
Green in their health,
Spectators watch in awe,
Wonder at the miracle of life,
Of knowledge, of love, of tenderness of strength Who is He?
Can we open our eyes at the brilliance?
Only as He takes us deep down in His gaze, His mercy, His bounty
Not love for another,
For He has made us His own.
(1963)"
God,6,A boulder hurtling down the slope,"A boulder hurtling down the slope,
Crushing tender juicy saplings
Trampling cruelly small, small blue flowers
Innocent small, blue in scents,
Below lies a village, with human interest, human joys, human tears,
But I have no hope, except a screeching will to stop it, From reaching its tragic destination
And forever his the eternal infinite how?
How? Why?
Perhaps the ground gave way under its weight Perhaps, O perhaps, vines did not grow
Chaining it to the mountaintop
Perhaps it deliberately wrenched its gaze
Away from the fleecy cloud just above it,
That shattered the peak from scrutiny
From understanding, from closeness,
O God of the clouds,
Save it from destruction,
Halt its headlong passage,
By your mercy,
Which reaches to the deep mires of evil."
God,7,Where does it come from?,"Where does it come from? The Mouth? The Source? OR ….? Is it flowing from His open arms?
It is?
For men shall continue to sorrow,
For men shall continue to die,
For men shall ………… watching the birds fly,
Watching the rainbow disappear,
Where or how?
And the rain falls to caress the seedling,
Lying below the ground,
Hinding their secret, parched hunger.
As Time flows, so it will flow on.
Unending, even though men close their hearts and eyes, and turn their backs,
It will seep through their smell, their sound, and make them wont with ache and pain
(14th July 1963)"
God,8,I would miss him,"I would miss him
As the earth misses the sun
When night is overcast,
Or as the trees feel bare,
Without the habitation of the bird that sing,
For all that is beautiful truthful
Is associates associated with you, my Lord
The surge for life, confidence,
The surer step, stable in intelligence,
To make the world look green, green and deep
Fresh from cooling falling rains
The sun shining on the dew laden flowers
Heavy with mercy overcome
Urging them to fly upwards with the joy of embrace, Or even to bring a smile to lips,
To find this mighty, perplexing, wrinkled,
Creation for joy and exuberance
Is wrought by you, My Lord,
As sure as the creation of your artistic hands.
The earth may spin itself to a living meteor
But you will take my love,
Flowing through my life blood,
Absorb me in your immortal person,
Living in love
Till I cease to think
And am born into you.
(August 1963)"
God,9,All that glitters is not gold,"All that glitters is not gold
All that shines is not real
All those who says they speak the truth are not true But O God! How to find
The gold, the real, the truth.
I do not possess the eye of a jeweler,
or the skill of a professional,
or the wisdom of saps a sage
And He says do not look far,
Do not look for the dazzle
Do not look for the truth
“Look for ME”
In silence our voices hush,
Our eyes rove the horizon,
Our heart says “Allah”"
God,10,The extravagant painter,"The extravagant painter
Ever the same and eternally vivid
Painting the horizon with bloody scarlet, orange, yellow The landscape with soothing green of every hue Lighting the monotony
With dainty flowers
And men’s minds with highest sentiments
Where he the ideals of eternal, worth of ideals of eternity Whose touch leaves to dullness, the purification of beauty Whose truth is beauty
Whose light is beauty
Whose love, creation and compassion knows no comparison The black trees at night reach up to the sky
Sins Sing and wave praises in the morning light
The waste land stretches far away
Yet here and there the fruitfulness of indescribable loveliness He holds the universe in the palm of his hand
Yet has the tenderness to reach the innermost recesses of the human soul.
Jan 1961"
God,11,"All else is transient, changing","All else is transient, changing
Love one day
Indifference the next
Only You are constant, unchanging
Give me a sign and assurance
You look upon me with a smile on your lips, responding to my plight."
God,12,Let me pour my heart out inwards,"Let me pour my heart out inwards in words Give me the words, give me the thought, For they come from You
Let them rise up to You again in praise
Let them rise up to You in repentance
Let them have the depth, because through your door In prostration, in supplication, in plea
Do not turn them away
Do not reject them,
For I have no one to turn to,
I do not want to,
If you be my hope, I have no hopes of no one"
